keyword,page_no,position_on_page,overall_position,asin,title,brand,link,price,rating,sponsored
glass air fryer,1,1,1,B0C8NFLPYG,"Libra 4.5 Litre Airfryer | Digital Air Fryer With Glass Bowl | Teflon-Free, 8 Presets, 1450W Power | Air Fry, Toast, Grill, Reheat, Dehydrate, & Roast | Visible Window | Smart Air Fryer Oven, Black",400+ bought in past month,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTMzMzcxMTY4MzYzNzc4OjE3NzQ1OTM2NTg6c3BfYXRmOjMwMDUyMzYwMzQyMTEzMjo6MDo6&url=%2FLibra-Digital-Glass-Teflon-Free-Dehydrate%2Fdp%2FB0C8NFLPYG%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2CNW8JLQNLBQA%26dib%3DeyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU%26dib_tag%3Dse%26keywords%3Dglass%2Bair%2Bfryer%26qid%3D1774593658%26sprefix%3Dglass%2Bair%2Bfryer%252Caps%252C536%26sr%3D8-1-spons%26aref%3DZ8AwsKfo9X%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Z8AwsKfo9X&sp_cr=ZAZ,"₹5,999",4.1 out of 5 stars,True
glass air fryer,1,2,2,B0CD7ZTPHM,"Faber 6L 1500W Digital Air Fryer | Fry, Bake, Roast, Toast, Defrost, Grill & Reheat | 85% Less Oil, 360° Air Cooking | 8-Preset Menu, LED Display & Touch Control, Non-Stick Pan, View Window | (Black)",300+ bought in past month,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTMzMzcxMTY4MzYzNzc4OjE3NzQ1OTM2NTg6c3BfYXRmOjMwMDY0NDMyNzg5NTIzMjo6MDo6&url=%2FFaber-Digital-Defrost-8-Preset-Non-Stick%2Fdp%2FB0CD7ZTPHM%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2CNW8JLQNLBQA%26dib%3DeyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU%26dib_tag%3Dse%26keywords%3Dglass%2Bair%2Bfryer%26qid%3D1774593658%26sprefix%3Dglass%2Bair%2Bfryer%252Caps%252C536%26sr%3D8-2-spons%26aref%3DeColHE08jr%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=eColHE08jr&sp_cr=ZAZ,"₹5,990",4.4 out of 5 stars,True
glass air fryer,1,3,3,B0C8NFLPYG,"Libra 4.5 Litre Airfryer | Digital Air Fryer With Glass Bowl | Teflon-Free, 8 Presets, 1450W Power | Air Fry, Toast, Grill, Reheat, Dehydrate, & Roast | Visible Window | Smart Air Fryer Oven, Black",400+ bought in past month,https://www.amazon.in/Libra-Digital-Glass-Teflon-Free-Dehydrate/dp/B0C8NFLPYG/ref=sr_1_3?crid=2CNW8JLQNLBQA&dib=eyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU&dib_tag=se&keywords=glass+air+fryer&qid=1774593658&sprefix=glass+air+fryer%2Caps%2C536&sr=8-3,"₹5,999",4.1 out of 5 stars,True
glass air fryer,1,4,4,B0GC5NQFHV,Kilig Nexa Core 4L 100% Toxin-Free Air Fryer | Exclusive StepChef™ Feature | Borosilicate Glass Basket | 8 Indian Presets |1800W Top & Bottom Heating | App Control | Wi-Fi Enabled Smart Air Fryer,100+ bought in past month,https://www.amazon.in/Toxin-Free-Exclusive-StepChefTM-Feature-Borosilicate/dp/B0GC5NQFHV/ref=sr_1_4?crid=2CNW8JLQNLBQA&dib=eyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU&dib_tag=se&keywords=glass+air+fryer&qid=1774593658&sprefix=glass+air+fryer%2Caps%2C536&sr=8-4,"₹7,990",4.5 out of 5 stars,True
glass air fryer,1,5,5,B0GSGLF8RF,"CELLO Airmate Modular Air Fryer with 5MM Borosilicate Glass Bowl 4L | 90% Less Fat Cooking, 1500W High Speed 360° Air Wave Technology | For Fry Bake Crisp Keep Warm, Cook Serve Store, Dishwasher Safe",M.R.P:,https://www.amazon.in/CELLO-Borosilicate-1500W-Technology-Dishwasher/dp/B0GSGLF8RF/ref=sr_1_5?crid=2CNW8JLQNLBQA&dib=eyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU&dib_tag=se&keywords=glass+air+fryer&qid=1774593658&sprefix=glass+air+fryer%2Caps%2C536&sr=8-5,"₹5,999",5.0 out of 5 stars,True
glass air fryer,1,6,6,B0C8NFLPYG,"Libra 4.5 Litre Airfryer | Digital Air Fryer With Glass Bowl | Teflon-Free, 8 Presets, 1450W Power | Air Fry, Toast, Grill, Reheat, Dehydrate, & Roast | Visible Window | Smart Air Fryer Oven, Black",400+ bought in past month,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDIxNzE1NjYyNTQ3MzkwOjE3NzQ1OTM2NTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDUyMzYwMzQyMTEzMjo6MDo6&url=%2FLibra-Digital-Glass-Teflon-Free-Dehydrate%2Fdp%2FB0C8NFLPYG%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D2CNW8JLQNLBQA%26cv_ct_cx%3Dglass%2Bair%2Bfryer%26keywords%3Dglass%2Bair%2Bfryer%26pd_rd_i%3DB0C8NFLPYG%26pd_rd_r%3D3fad437c-24f3-4d68-89e1-ae0cf5e3a63d%26pd_rd_w%3Dx0J7G%26pd_rd_wg%3DyQyDG%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DC7589F2QP1H5AY87GB8C%26qid%3D1774593658%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dglass%2Bair%2Bfryer%252Caps%252C536%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DZ8AwsKfo9X%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=Z8AwsKfo9X&sp_cr=ZAZ,"₹5,999",4.1 out of 5 stars,True
glass air fryer,1,7,7,B0GMJG8JYC,Kilig Iris Plus Airfryer | Dual Toxin-Free Glass Containers (4L + 1.5L) | 5 Smart Modes | 1500W | Overheat Protection | 360° Air circulation | Matte Black,"( ₹9,99,000 ₹9,99,000/100 g)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDIxNzE1NjYyNTQ3MzkwOjE3NzQ1OTM2NTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDk0NzIxOTUxMzkzMjo6MTo6&url=%2FAirfryer-Toxin-Free-Containers-Protection-circulation%2Fdp%2FB0GMJG8JYC%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D2CNW8JLQNLBQA%26cv_ct_cx%3Dglass%2Bair%2Bfryer%26keywords%3Dglass%2Bair%2Bfryer%26pd_rd_i%3DB0GMJG8JYC%26pd_rd_r%3D3fad437c-24f3-4d68-89e1-ae0cf5e3a63d%26pd_rd_w%3Dx0J7G%26pd_rd_wg%3DyQyDG%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DC7589F2QP1H5AY87GB8C%26qid%3D1774593658%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dglass%2Bair%2Bfryer%252Caps%252C536%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DzT3fkbA2nq%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=zT3fkbA2nq&sp_cr=ZAZ,"₹9,990",4.0 out of 5 stars,True
glass air fryer,1,8,8,B0CNT56SFG,"Nutricook Steami X 24L Black (Steam + Air Fryer Oven) with 10-in-1 functions like Steam Cook, Steam Roast, Air Fry, Bake, Sterilize & more. Steam + Convection technology, 2200W power, 2-year warranty",200+ bought in past month,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDIxNzE1NjYyNTQ3MzkwOjE3NzQ1OTM2NTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ3NTg2MzQyNTIzMjo6Mjo6&url=%2FAir-Fryer-Oven-Convection-Technology%2Fdp%2FB0CNT56SFG%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D2CNW8JLQNLBQA%26cv_ct_cx%3Dglass%2Bair%2Bfryer%26keywords%3Dglass%2Bair%2Bfryer%26pd_rd_i%3DB0CNT56SFG%26pd_rd_r%3D3fad437c-24f3-4d68-89e1-ae0cf5e3a63d%26pd_rd_w%3Dx0J7G%26pd_rd_wg%3DyQyDG%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DC7589F2QP1H5AY87GB8C%26qid%3D1774593658%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dglass%2Bair%2Bfryer%252Caps%252C536%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DvWPvftYxGQ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=vWPvftYxGQ&sp_cr=ZAZ,"₹19,999",4.4 out of 5 stars,True
glass air fryer,1,9,9,B0GC5NQFHV,Kilig Nexa Core 4L 100% Toxin-Free Air Fryer | Exclusive StepChef™ Feature | Borosilicate Glass Basket | 8 Indian Presets |1800W Top & Bottom Heating | App Control | Wi-Fi Enabled Smart Air Fryer,100+ bought in past month,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDIxNzE1NjYyNTQ3MzkwOjE3NzQ1OTM2NTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDkwNzcxNTA5NDczMjo6Mzo6&url=%2FToxin-Free-Exclusive-StepChefTM-Feature-Borosilicate%2Fdp%2FB0GC5NQFHV%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D2CNW8JLQNLBQA%26cv_ct_cx%3Dglass%2Bair%2Bfryer%26keywords%3Dglass%2Bair%2Bfryer%26pd_rd_i%3DB0GC5NQFHV%26pd_rd_r%3D3fad437c-24f3-4d68-89e1-ae0cf5e3a63d%26pd_rd_w%3Dx0J7G%26pd_rd_wg%3DyQyDG%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DC7589F2QP1H5AY87GB8C%26qid%3D1774593658%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dglass%2Bair%2Bfryer%252Caps%252C536%26sr%3D1-4-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DCNEOVzG6Zl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=CNEOVzG6Zl&sp_cr=ZAZ,"₹7,990",4.5 out of 5 stars,True
glass air fryer,1,10,10,B097RJ867P,"PHILIPS Digital Air Fryer HD9252/90 with Touch Panel, uses up to 90% less fat, 7 Pre-set Menu, 1400W, 4.1 Liter, with Rapid Air Technology (Black), Large",1K+ bought in past month,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDIxNzE1NjYyNTQ3MzkwOjE3NzQ1OTM2NTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ1ODk3MzU2MTczMjo6NDo6&url=%2FPHILIPS-Digital-HD9252-90-Technology%2Fdp%2FB097RJ867P%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D2CNW8JLQNLBQA%26cv_ct_cx%3Dglass%2Bair%2Bfryer%26keywords%3Dglass%2Bair%2Bfryer%26pd_rd_i%3DB097RJ867P%26pd_rd_r%3D3fad437c-24f3-4d68-89e1-ae0cf5e3a63d%26pd_rd_w%3Dx0J7G%26pd_rd_wg%3DyQyDG%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DC7589F2QP1H5AY87GB8C%26qid%3D1774593658%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dglass%2Bair%2Bfryer%252Caps%252C536%26sr%3D1-5-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DYaOdcX3K9Y%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=YaOdcX3K9Y&sp_cr=ZAZ,"₹7,999",4.3 out of 5 stars,True
glass air fryer,1,11,11,B0GMJG8JYC,Kilig Iris Plus Airfryer | Dual Toxin-Free Glass Containers (4L + 1.5L) | 5 Smart Modes | 1500W | Overheat Protection | 360° Air circulation | Matte Black,"( ₹9,99,000 ₹9,99,000/100 g)",https://www.amazon.in/Airfryer-Toxin-Free-Containers-Protection-circulation/dp/B0GMJG8JYC/ref=sr_1_6?crid=2CNW8JLQNLBQA&dib=eyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU&dib_tag=se&keywords=glass+air+fryer&qid=1774593658&sprefix=glass+air+fryer%2Caps%2C536&sr=8-6,"₹9,990",4.0 out of 5 stars,True
glass air fryer,1,12,12,B0DWS9YF91,"Acerpure Air Fryer | 100% Glass Bowl | 90% Less Oil | 5.5L Air Fryer + 2.5L Cooking Pot | Air Fry, Toast, Reheat, Grill, Cook | 360° TurboHeat Technology | Preset Modes | 1500 Watts | Black",M.R.P:,https://www.amazon.in/Acerpure-Grilling-Warranty-TurboHeat-Technology/dp/B0DWS9YF91/ref=sr_1_7?crid=2CNW8JLQNLBQA&dib=eyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU&dib_tag=se&keywords=glass+air+fryer&qid=1774593658&sprefix=glass+air+fryer%2Caps%2C536&sr=8-7,"₹9,990",4.0 out of 5 stars,True
glass air fryer,1,13,13,B0FM3Z53ZC,"Stegl Glass Air Fryer, 4L, with 360° Rapid Air Tech, 90% less fat, touch panel, 7 presets, temp/time control, Teflon-free; Fry, Bake, Roast, Toast, Defrost, Grill & Re-heat.",M.R.P:,https://www.amazon.in/presets-control-Teflon-free-Defrost-Re-heat/dp/B0FM3Z53ZC/ref=sr_1_8?crid=2CNW8JLQNLBQA&dib=eyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU&dib_tag=se&keywords=glass+air+fryer&qid=1774593658&sprefix=glass+air+fryer%2Caps%2C536&sr=8-8,"₹9,999",5.0 out of 5 stars,True
glass air fryer,1,14,14,B0FXLKZ9ZH,"NUUK BRĪSK 6.5L 100% Toxin-Free Ceramic Air Fryer | ILAG® CeramicTech™ | No Micro plastics, No PTFE, PFAS, PFOA | 8 Cooking Presets | Digital Display | Shake Reminder | 360° Even Cooking",100+ bought in past month,https://www.amazon.in/NUUK-Toxin-Free-CeramicTechTM-plastics-Reminder/dp/B0FXLKZ9ZH/ref=sr_1_9?crid=2CNW8JLQNLBQA&dib=eyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU&dib_tag=se&keywords=glass+air+fryer&qid=1774593658&sprefix=glass+air+fryer%2Caps%2C536&sr=8-9,"₹8,999",4.5 out of 5 stars,True
glass air fryer,1,15,15,B0G5Y1K8V3,"SOLARA Air Fryer 4.5 Litres with 500ml 2-in-1 Glass Oil Sprayer & Pack of 6 Reusable Silicone Basket Liners Combo Pack, 10 Preset menus, BPA-Free Kitchen and Air Fryer Accessories",400+ bought in past month,https://www.amazon.in/SOLARA-Air-Fryer-Combo-Accessories/dp/B0G5Y1K8V3/ref=sr_1_10?crid=2CNW8JLQNLBQA&dib=eyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU&dib_tag=se&keywords=glass+air+fryer&qid=1774593658&sprefix=glass+air+fryer%2Caps%2C536&sr=8-10,"₹3,999",3.1 out of 5 stars,True
glass air fryer,1,16,16,B0GMJG8JYC,Kilig Iris Plus Airfryer | Dual Toxin-Free Glass Containers (4L + 1.5L) | 5 Smart Modes | 1500W | Overheat Protection | 360° Air circulation | Matte Black,"( ₹9,99,000 ₹9,99,000/100 g)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTMzMzcxMTY4MzYzNzc4OjE3NzQ1OTM2NTg6c3BfbXRmOjMwMDk0NzIxOTUxMzkzMjo6MDo6&url=%2FAirfryer-Toxin-Free-Containers-Protection-circulation%2Fdp%2FB0GMJG8JYC%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2CNW8JLQNLBQA%26dib%3DeyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU%26dib_tag%3Dse%26keywords%3Dglass%2Bair%2Bfryer%26qid%3D1774593658%26sprefix%3Dglass%2Bair%2Bfryer%252Caps%252C536%26sr%3D8-11-spons%26aref%3DzT3fkbA2nq%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=zT3fkbA2nq&sp_cr=ZAZ,"₹9,990",4.0 out of 5 stars,True
glass air fryer,1,17,17,B0CNT56SFG,"Nutricook Steami X 24L Black (Steam + Air Fryer Oven) with 10-in-1 functions like Steam Cook, Steam Roast, Air Fry, Bake, Sterilize & more. Steam + Convection technology, 2200W power, 2-year warranty",200+ bought in past month,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTMzMzcxMTY4MzYzNzc4OjE3NzQ1OTM2NTg6c3BfbXRmOjMwMDQ3NTg2MzQyNTIzMjo6MDo6&url=%2FAir-Fryer-Oven-Convection-Technology%2Fdp%2FB0CNT56SFG%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2CNW8JLQNLBQA%26dib%3DeyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU%26dib_tag%3Dse%26keywords%3Dglass%2Bair%2Bfryer%26qid%3D1774593658%26sprefix%3Dglass%2Bair%2Bfryer%252Caps%252C536%26sr%3D8-12-spons%26aref%3DvWPvftYxGQ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=vWPvftYxGQ&sp_cr=ZAZ,"₹19,999",4.4 out of 5 stars,True
glass air fryer,1,18,18,B0D14BB5XY,"PHILIPS Air Fryer NA120/00, uses up to 90% less fat, 1500W, 4.2 Liter, with Rapid Air Technology (Black), Large",9K+ bought in past month,https://www.amazon.in/PHILIPS-Fryer-NA120-00-Technology/dp/B0D14BB5XY/ref=sr_1_13?crid=2CNW8JLQNLBQA&dib=eyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU&dib_tag=se&keywords=glass+air+fryer&qid=1774593658&sprefix=glass+air+fryer%2Caps%2C536&sr=8-13,"₹4,802",4.3 out of 5 stars,True
glass air fryer,1,19,19,B0FH6CHP7K,"KENT Digital Air Fryer 6.5L,1600W,Bake,Grill & Roast,Up To 80% Less Oil Usage,Rapid Heat Circulation,8 Preset Menu,Digital Display & Touch Control Panel,Glass Window With In Built Light,Black",300+ bought in past month,https://www.amazon.in/KENT-Digital-6-5L-Circulation-Display/dp/B0FH6CHP7K/ref=sr_1_14?crid=2CNW8JLQNLBQA&dib=eyJ2IjoiMSJ9.VpcXtCgerbeq6RmRHz3arW1xQzcZrQti5DSonytQZGZxMXKLvzl0z7KufEYyerAVxUi-2Ukbn76f9v9oXiY8GOQrdexFO1igmpNa43lfbBlKSjv8L7vBGk2vIvZ8JZ2IPTrq8pYGfm5JWrd7QxPxlXl1L4sV8ScpRjjSTV02iJ0Xq3yU3MBJDGA_0mNKapEnF_GJlusDKHiniTa9Ue7GmIXbZPdllsd33OL_HafjjQk.VeJuKrXrI4Eu1RKaoF_zmC4ZcCSd-KhsX8gVx04dVrU&dib_tag=se&keywords=glass+air+fryer&qid=1774593658&sprefix=glass+air+fryer%2Caps%2C536&sr=8-14,"₹5,348",4.0 out of 5 stars,True
