run_date,tracked_at,marketplace,keyword,asin,scan_status,scanned_pages,absolute_position,organic_position,sponsored_position,found_anywhere,found_organic,found_sponsored,page_est,title,product_url,found,is_sponsored,absolute_pos,organic_pos,sponsored_pos,found_any,found_org,found_sp
2025-12-19,2025-12-19 17:55:04,https://www.amazon.in,shelf liners for kitchen shelves,B0BN5NZCGH,ok,7,2.0,20.0,2.0,True,True,True,1.0,,,,,,,,,,
2025-12-19,2025-12-19 17:55:04,https://www.amazon.in,shelf liners for kitchen shelves,B0D9HBWG5P,ok,7,,,,False,False,False,,,,,,,,,,,
2025-12-19,2025-12-19 17:55:04,https://www.amazon.in,kids interlocking mats,B0BN5NZCGH,ok,7,,,,False,False,False,,,,,,,,,,,
2025-12-19,2025-12-19 17:55:04,https://www.amazon.in,kids interlocking mats,B0D9HBWG5P,ok,7,,,,False,False,False,,,,,,,,,,,
2025-12-19,2025-12-19 18:17:14,https://www.amazon.in,shelf liners for kitchen shelves,B0BN5NZCGH,ok,7,2.0,16.0,2.0,True,True,True,1.0,,,,,,,,,,
2025-12-19,2025-12-19 18:17:14,https://www.amazon.in,shelf liners for kitchen shelves,B0D9HBWG5P,ok,7,,,,False,False,False,,,,,,,,,,,
2025-12-19,2025-12-19 18:17:14,https://www.amazon.in,kids interlocking mats,B0BN5NZCGH,ok,7,,,,False,False,False,,,,,,,,,,,
2025-12-19,2025-12-19 18:17:14,https://www.amazon.in,kids interlocking mats,B0D9HBWG5P,ok,7,,,,False,False,False,,,,,,,,,,,
,2025-12-19 19:33:43,https://www.amazon.in,shelf liners for kitchen shelves,B0BN5NZCGH,ok,1,2.0,,,,,,1.0,,,True,True,,,,,,
,2025-12-19 19:33:43,https://www.amazon.in,shelf liners for kitchen shelves,B0D9HBWG5P,ok,7,,,,,,,,,,False,,,,,,,
,2025-12-19 19:33:43,https://www.amazon.in,kids interlocking mats,B0BN5NZCGH,ok,7,,,,,,,,,,False,,,,,,,
,2025-12-19 19:33:43,https://www.amazon.in,kids interlocking mats,B0D9HBWG5P,ok,7,,,,,,,,,,False,,,,,,,
